Payment Number,Payment Date,Beginning Balance,Scheduled Payment,Extra Payment,Total Payment,Principal,Interest (5.0% APR),Ending Balance
1,"August 10, 2022","$10,000.00",$230.29,$0.00,$230.29,$188.63,$41.67,"$9,811.37"
2,"September 10, 2022","$9,811.37",$230.29,$0.00,$230.29,$189.41,$40.88,"$9,621.96"
3,"October 10, 2022","$9,621.96",$230.29,$0.00,$230.29,$190.20,$40.09,"$9,431.76"
4,"November 10, 2022","$9,431.76",$230.29,$0.00,$230.29,$190.99,$39.30,"$9,240.77"
5,"December 10, 2022","$9,240.77",$230.29,$0.00,$230.29,$191.79,$38.50,"$9,048.98"
6,"January 10, 2023","$9,048.98",$230.29,$0.00,$230.29,$192.59,$37.70,"$8,856.39"
7,"February 10, 2023","$8,856.39",$230.29,$0.00,$230.29,$193.39,$36.90,"$8,663.00"
8,"March 10, 2023","$8,663.00",$230.29,$0.00,$230.29,$194.20,$36.10,"$8,468.80"
9,"April 10, 2023","$8,468.80",$230.29,$0.00,$230.29,$195.01,$35.29,"$8,273.79"
10,"May 10, 2023","$8,273.79",$230.29,$0.00,$230.29,$195.82,$34.47,"$8,077.97"
11,"June 10, 2023","$8,077.97",$230.29,$0.00,$230.29,$196.63,$33.66,"$7,881.34"
12,"July 10, 2023","$7,881.34",$230.29,$0.00,$230.29,$197.45,$32.84,"$7,683.89"
13,"August 10, 2023","$7,683.89",$230.29,$0.00,$230.29,$198.28,$32.02,"$7,485.61"
14,"September 10, 2023","$7,485.61",$230.29,$0.00,$230.29,$199.10,$31.19,"$7,286.51"
15,"October 10, 2023","$7,286.51",$230.29,$0.00,$230.29,$199.93,$30.36,"$7,086.58"
16,"November 10, 2023","$7,086.58",$230.29,$0.00,$230.29,$200.77,$29.53,"$6,885.81"
17,"December 10, 2023","$6,885.81",$230.29,$0.00,$230.29,$201.60,$28.69,"$6,684.21"
18,"January 10, 2024","$6,684.21",$230.29,$0.00,$230.29,$202.44,$27.85,"$6,481.77"
19,"February 10, 2024","$6,481.77",$230.29,$0.00,$230.29,$203.29,$27.01,"$6,278.48"
20,"March 10, 2024","$6,278.48",$230.29,$0.00,$230.29,$204.13,$26.16,"$6,074.35"
21,"April 10, 2024","$6,074.35",$230.29,$0.00,$230.29,$204.98,$25.31,"$5,869.37"
22,"May 10, 2024","$5,869.37",$230.29,$0.00,$230.29,$205.84,$24.46,"$5,663.53"
23,"June 10, 2024","$5,663.53",$230.29,$0.00,$230.29,$206.69,$23.60,"$5,456.84"
24,"July 10, 2024","$5,456.84",$230.29,$0.00,$230.29,$207.56,$22.74,"$5,249.28"
25,"August 10, 2024","$5,249.28",$230.29,$0.00,$230.29,$208.42,$21.87,"$5,040.86"
26,"September 10, 2024","$5,040.86",$230.29,$0.00,$230.29,$209.29,$21.00,"$4,831.57"
27,"October 10, 2024","$4,831.57",$230.29,$0.00,$230.29,$210.16,$20.13,"$4,621.41"
28,"November 10, 2024","$4,621.41",$230.29,$0.00,$230.29,$211.04,$19.26,"$4,410.37"
29,"December 10, 2024","$4,410.37",$230.29,$0.00,$230.29,$211.92,$18.38,"$4,198.45"
30,"January 10, 2025","$4,198.45",$230.29,$0.00,$230.29,$212.80,$17.49,"$3,985.65"
31,"February 10, 2025","$3,985.65",$230.29,$0.00,$230.29,$213.69,$16.61,"$3,771.96"
32,"March 10, 2025","$3,771.96",$230.29,$0.00,$230.29,$214.58,$15.72,"$3,557.38"
33,"April 10, 2025","$3,557.38",$230.29,$0.00,$230.29,$215.47,$14.82,"$3,341.91"
34,"May 10, 2025","$3,341.91",$230.29,$0.00,$230.29,$216.37,$13.93,"$3,125.54"
35,"June 10, 2025","$3,125.54",$230.29,$0.00,$230.29,$217.27,$13.02,"$2,908.27"
36,"July 10, 2025","$2,908.27",$230.29,$0.00,$230.29,$218.18,$12.12,"$2,690.09"
37,"August 10, 2025","$2,690.09",$230.29,$0.00,$230.29,$219.08,$11.21,"$2,471.01"
38,"September 10, 2025","$2,471.01",$230.29,$0.00,$230.29,$220.00,$10.30,"$2,251.01"
39,"October 10, 2025","$2,251.01",$230.29,$0.00,$230.29,$220.91,$9.38,"$2,030.10"
40,"November 10, 2025","$2,030.10",$230.29,"$2,029.18","$2,259.47",$221.83,$8.46,$0.00
41,"December 10, 2025",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
42,"January 10, 2026",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
43,"February 10, 2026",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
44,"March 10, 2026",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
45,"April 10, 2026",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
46,"May 10, 2026",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
47,"June 10, 2026",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
48,"July 10, 2026",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
